row_id,tomo_id,Motor axis 0,Motor axis 1,Motor axis 2,Array shape (axis 0),Array shape (axis 1),Array shape (axis 2),Voxel spacing,Number of motors
115,tomo_25780f,147.0,792.0,658.0,300,960,928,13.1,1
116,tomo_2645a0,-1.0,-1.0,-1.0,300,960,928,16.8,0
117,tomo_278194,-1.0,-1.0,-1.0,300,960,928,19.2,0
118,tomo_285454,-1.0,-1.0,-1.0,300,956,924,16.1,0
119,tomo_285d15,137.0,391.0,611.0,300,960,928,13.1,1
120,tomo_288d4f,-1.0,-1.0,-1.0,300,960,928,16.8,0
121,tomo_28f9c1,-1.0,-1.0,-1.0,500,924,956,16.1,0
122,tomo_2a6091,185.0,492.0,635.0,300,960,928,13.1,1
123,tomo_2a6ca2,32.0,528.0,347.0,300,960,928,13.1,1
124,tomo_2a89bb,-1.0,-1.0,-1.0,800,928,960,16.1,0
125,tomo_2acf68,135.0,337.0,679.0,300,960,928,13.1,1
126,tomo_2aeb29,-1.0,-1.0,-1.0,800,927,959,13.1,0
127,tomo_2b3cdf,134.0,173.0,662.0,300,960,928,13.1,2
128,tomo_2b996c,-1.0,-1.0,-1.0,300,960,928,16.8,0
129,tomo_2bb588,97.0,709.0,611.0,300,960,928,13.1,1
130,tomo_2c607f,108.0,349.0,527.0,300,960,928,13.1,1
131,tomo_2c8ea2,85.0,176.0,395.0,300,959,928,15.6,1
132,tomo_2c9da1,207.0,258.0,617.0,300,960,928,13.1,1
133,tomo_2c9f35,-1.0,-1.0,-1.0,300,960,928,16.8,0
134,tomo_2cace2,-1.0,-1.0,-1.0,300,960,928,16.8,0
135,tomo_2daaee,185.0,596.0,860.0,500,924,956,19.7,4
136,tomo_2daaee,210.0,606.0,849.0,500,924,956,19.7,4
137,tomo_2daaee,263.0,163.0,752.0,500,924,956,19.7,4
138,tomo_2daaee,193.0,566.0,857.0,500,924,956,19.7,4
139,tomo_2dcd5c,125.0,414.0,519.0,300,960,928,13.1,1
140,tomo_2dd6bd,-1.0,-1.0,-1.0,300,928,928,16.8,0
141,tomo_2e1f4c,73.0,86.0,334.0,300,959,928,15.6,1
142,tomo_2f3261,143.0,458.0,695.0,300,960,928,13.1,1
143,tomo_2fb12d,-1.0,-1.0,-1.0,300,960,928,16.8,0
144,tomo_2fc82d,-1.0,-1.0,-1.0,300,960,928,16.8,0
145,tomo_305c97,65.0,684.0,410.0,300,960,928,15.6,1
146,tomo_307f33,-1.0,-1.0,-1.0,800,928,960,16.1,0
147,tomo_30b580,142.0,392.0,575.0,300,928,928,13.1,1
148,tomo_30d4e5,175.0,706.0,228.0,300,959,928,15.6,1
149,tomo_317656,97.0,409.0,758.0,300,960,928,13.1,1
150,tomo_3183d2,168.0,136.0,475.0,300,959,928,15.6,1
151,tomo_319f79,195.0,243.0,380.0,500,928,960,13.1,1
152,tomo_3264bc,-1.0,-1.0,-1.0,300,928,928,16.8,0
153,tomo_32aaa7,156.0,526.0,641.0,300,960,928,13.1,1
154,tomo_331130,106.0,553.0,323.0,300,960,928,13.1,1
155,tomo_35ec84,-1.0,-1.0,-1.0,800,928,960,16.1,0
156,tomo_369cce,95.0,361.0,268.0,300,960,928,13.1,1
157,tomo_37076e,131.0,379.0,298.0,300,960,928,13.1,1
158,tomo_372690,-1.0,-1.0,-1.0,800,928,960,13.1,0
159,tomo_372a5c,179.0,730.0,406.0,300,959,928,15.6,1
160,tomo_374ca7,-1.0,-1.0,-1.0,800,928,960,13.1,0
161,tomo_375513,204.0,577.0,228.0,300,960,928,13.1,1
162,tomo_378f43,166.0,763.0,526.0,300,960,928,13.1,1
163,tomo_37c426,-1.0,-1.0,-1.0,600,960,928,15.6,0
164,tomo_37dd38,200.0,321.0,602.0,500,924,956,19.7,3
165,tomo_37dd38,162.0,100.0,662.0,500,924,956,19.7,3
166,tomo_37dd38,184.0,303.0,593.0,500,924,956,19.7,3
167,tomo_381add,219.0,625.0,862.0,500,924,956,19.7,2
168,tomo_381add,209.0,596.0,871.0,500,924,956,19.7,2
169,tomo_385eb6,-1.0,-1.0,-1.0,300,960,928,16.8,0
170,tomo_38c2a6,251.0,687.0,200.0,300,960,928,13.1,1
171,tomo_38d285,-1.0,-1.0,-1.0,800,928,960,13.1,0
172,tomo_399bd9,126.0,509.0,366.0,300,928,928,13.1,1
173,tomo_39b15b,-1.0,-1.0,-1.0,500,924,956,16.1,0
174,tomo_3a0914,-1.0,-1.0,-1.0,800,928,960,16.1,0
175,tomo_3a3519,-1.0,-1.0,-1.0,300,960,928,15.6,0
176,tomo_3a6a9d,-1.0,-1.0,-1.0,500,1024,1440,13.3,0
177,tomo_3a8480,223.0,460.0,896.0,500,924,956,19.7,2
178,tomo_3a8480,212.0,482.0,872.0,500,924,956,19.7,2
179,tomo_3b1cc9,-1.0,-1.0,-1.0,300,960,928,13.1,0
180,tomo_3b7a22,-1.0,-1.0,-1.0,800,928,960,13.1,0
181,tomo_3b8291,-1.0,-1.0,-1.0,500,924,956,19.7,0
182,tomo_3b83c7,162.0,181.0,613.0,300,960,928,13.1,1
183,tomo_3c6038,99.0,324.0,156.0,300,959,928,15.6,1
184,tomo_3e6ead,-1.0,-1.0,-1.0,300,960,928,16.8,0
185,tomo_3e7407,265.0,349.0,736.0,500,924,956,19.7,4
186,tomo_3e7407,231.0,341.0,699.0,500,924,956,19.7,4
187,tomo_3e7407,257.0,348.0,692.0,500,924,956,19.7,4
188,tomo_3e7407,241.0,350.0,725.0,500,924,956,19.7,4
189,tomo_3e7783,186.0,531.0,617.0,300,960,928,13.1,1
190,tomo_3eb9c8,150.0,411.0,416.0,300,960,928,13.1,1
191,tomo_401341,166.0,612.0,722.0,300,960,928,13.1,1
192,tomo_4077d8,73.0,100.0,225.0,300,928,928,15.6,1
193,tomo_40b215,-1.0,-1.0,-1.0,500,924,956,16.1,0
194,tomo_4102f1,149.0,820.0,485.0,300,928,928,15.6,1
195,tomo_412d88,89.0,103.0,272.0,300,928,928,15.6,1
196,tomo_417e5f,216.0,447.0,556.0,300,960,928,15.6,1
197,tomo_41ea80,-1.0,-1.0,-1.0,500,1024,1440,13.3,0
198,tomo_423d52,154.0,444.0,456.0,300,960,928,13.1,1
199,tomo_444829,112.0,786.0,641.0,300,928,928,13.1,1
200,tomo_4469a7,-1.0,-1.0,-1.0,300,960,928,16.8,0
201,tomo_4555b6,190.0,403.0,853.0,500,924,956,19.7,1
202,tomo_455dcd,36.0,660.0,535.0,300,960,928,13.1,1
203,tomo_46250a,170.0,168.0,336.0,300,928,928,15.6,1
204,tomo_464108,-1.0,-1.0,-1.0,800,928,928,13.1,0
205,tomo_466489,-1.0,-1.0,-1.0,300,960,928,16.8,0
206,tomo_47ac94,-1.0,-1.0,-1.0,300,960,928,15.6,0
207,tomo_47c399,168.0,177.0,438.0,300,960,928,13.1,1
208,tomo_47d380,-1.0,-1.0,-1.0,800,928,960,13.1,0
209,tomo_48dc93,208.0,712.0,483.0,500,924,956,19.7,2
210,tomo_48dc93,194.0,706.0,508.0,500,924,956,19.7,2
211,tomo_4925ee,-1.0,-1.0,-1.0,300,960,928,19.2,0
212,tomo_493bea,170.0,380.0,136.0,300,960,928,13.1,1
213,tomo_49725c,150.0,624.0,739.0,300,959,928,15.6,2
214,tomo_49725c,109.0,186.0,166.0,300,959,928,15.6,2
215,tomo_499ee0,-1.0,-1.0,-1.0,300,960,928,16.8,0
216,tomo_49f4ee,166.0,670.0,413.0,300,928,928,13.1,1
217,tomo_4b124b,111.0,505.0,452.0,300,960,928,13.1,1
218,tomo_4b59a2,156.0,491.0,738.0,300,960,928,13.1,1
219,tomo_4baff0,-1.0,-1.0,-1.0,500,924,956,16.1,0
220,tomo_4c1ca8,-1.0,-1.0,-1.0,800,928,960,13.1,0
221,tomo_4c2e4e,-1.0,-1.0,-1.0,300,960,928,16.8,0
222,tomo_4d528f,-1.0,-1.0,-1.0,800,928,960,16.1,0
223,tomo_4e1b18,-1.0,-1.0,-1.0,500,924,956,19.7,0
224,tomo_4e38b8,209.0,753.0,370.0,300,959,928,15.6,1
225,tomo_4e3e37,-1.0,-1.0,-1.0,800,928,960,13.1,0
226,tomo_4e41c2,-1.0,-1.0,-1.0,800,927,959,13.1,0
227,tomo_4e478f,117.0,467.0,156.0,300,959,928,15.6,1
228,tomo_4ed9de,173.0,724.0,717.0,300,960,928,15.6,1
229,tomo_4ee35e,157.0,670.0,300.0,300,959,928,15.6,1
230,tomo_4f379f,124.0,535.0,151.0,300,959,928,15.6,1
231,tomo_4f5a7b,-1.0,-1.0,-1.0,300,960,928,13.1,0
232,tomo_507b7a,451.0,561.0,366.0,500,928,960,13.1,2
233,tomo_507b7a,427.0,384.0,353.0,500,928,960,13.1,2
234,tomo_50cbd9,-1.0,-1.0,-1.0,800,928,960,13.1,0
235,tomo_50f0bf,-1.0,-1.0,-1.0,500,924,956,16.1,0
236,tomo_510f4e,191.0,236.0,381.0,300,928,928,16.8,1
237,tomo_512f98,-1.0,-1.0,-1.0,800,928,960,13.1,0
238,tomo_513010,128.0,150.0,499.0,300,960,928,13.1,1
239,tomo_516cdd,187.0,739.0,181.0,300,959,928,15.6,1
240,tomo_517f70,66.0,325.0,392.0,300,928,928,13.1,1
241,tomo_518a1f,108.0,564.0,683.0,300,960,928,15.6,1
242,tomo_51a47f,112.0,302.0,207.0,300,960,928,15.6,1
243,tomo_51a77e,-1.0,-1.0,-1.0,500,928,960,13.1,0
244,tomo_5308e8,-1.0,-1.0,-1.0,800,928,960,16.1,0
245,tomo_532d49,47.0,517.0,252.0,300,960,928,15.6,1
246,tomo_539259,152.0,503.0,613.0,300,960,928,16.8,1
247,tomo_53c71b,-1.0,-1.0,-1.0,800,928,960,13.1,0
248,tomo_53e048,190.0,666.0,542.0,300,960,928,13.1,1
249,tomo_54e1a7,-1.0,-1.0,-1.0,300,928,928,16.8,0
250,tomo_556257,123.0,210.0,434.0,300,959,928,15.6,1
251,tomo_568537,215.0,531.0,386.0,300,960,928,13.1,1
252,tomo_569981,-1.0,-1.0,-1.0,800,928,928,13.1,0
253,tomo_56b9a3,60.0,299.0,498.0,300,928,928,13.1,1
254,tomo_57592d,174.0,904.0,560.0,300,928,928,15.6,1
255,tomo_5764d6,92.0,679.0,580.0,500,928,960,13.1,1
256,tomo_57c814,168.0,359.0,402.0,300,928,928,13.1,1
257,tomo_5984bf,-1.0,-1.0,-1.0,800,928,960,13.1,0
258,tomo_59b470,139.0,152.0,631.0,300,960,928,15.6,1
259,tomo_5b087f,159.0,252.0,373.0,300,959,928,15.6,1
260,tomo_5b34b2,112.0,613.0,233.0,300,960,928,13.1,1
261,tomo_5b359d,-1.0,-1.0,-1.0,800,928,960,13.1,0
262,tomo_5b8db4,-1.0,-1.0,-1.0,800,928,960,13.1,0
263,tomo_5ba0cf,217.0,627.0,315.0,500,924,956,19.7,2
264,tomo_5ba0cf,221.0,653.0,333.0,500,924,956,19.7,2
265,tomo_5bb31c,-1.0,-1.0,-1.0,800,928,928,19.3,0
266,tomo_5d01e8,-1.0,-1.0,-1.0,500,1024,1440,13.3,0
267,tomo_5d4c65,190.0,601.0,652.0,500,928,960,13.1,4
268,tomo_5d4c65,180.0,770.0,483.0,500,928,960,13.1,4
269,tomo_5d4c65,187.0,392.0,902.0,500,928,960,13.1,4
270,tomo_5d4c65,145.0,505.0,794.0,500,928,960,13.1,4
271,tomo_5d798e,121.0,349.0,402.0,300,960,928,15.6,1
272,tomo_5dd63d,135.0,823.0,772.0,300,960,928,13.1,1
273,tomo_5e2a91,267.0,574.0,284.0,300,960,928,15.6,1
274,tomo_5f1f0c,-1.0,-1.0,-1.0,300,960,928,16.8,0
275,tomo_5f235a,119.0,656.0,372.0,300,960,928,13.1,1
276,tomo_5f34b3,-1.0,-1.0,-1.0,500,924,956,19.7,0
277,tomo_603e40,118.0,123.0,367.0,300,960,928,13.1,1
278,tomo_60d478,75.0,681.0,456.0,300,928,928,13.1,1
279,tomo_60ddbd,69.0,450.0,492.0,300,960,928,13.1,1
280,tomo_616f0b,149.0,874.0,609.0,300,959,928,15.6,1
281,tomo_61e947,-1.0,-1.0,-1.0,800,928,960,13.1,0
282,tomo_622ca9,88.0,348.0,565.0,300,928,928,13.1,1
283,tomo_62dbea,90.0,656.0,789.0,300,960,928,13.1,1
284,tomo_62eea8,111.0,469.0,334.0,300,960,928,13.1,2
285,tomo_6303f0,199.0,590.0,212.0,300,960,928,13.1,1
286,tomo_634b06,212.0,185.0,728.0,500,928,960,13.1,4
287,tomo_634b06,256.0,516.0,509.0,500,928,960,13.1,4
288,tomo_634b06,228.0,422.0,664.0,500,928,960,13.1,4
289,tomo_634b06,266.0,491.0,535.0,500,928,960,13.1,4
290,tomo_63e635,-1.0,-1.0,-1.0,800,928,960,13.1,0
291,tomo_640a74,3.0,563.0,673.0,300,960,928,13.1,1
292,tomo_643b20,168.0,387.0,596.0,300,960,928,13.1,1
293,tomo_646049,-1.0,-1.0,-1.0,300,960,928,15.6,0
294,tomo_6478e5,-1.0,-1.0,-1.0,300,960,928,16.8,0
295,tomo_648adf,-1.0,-1.0,-1.0,400,960,928,15.6,0
296,tomo_651ec2,-1.0,-1.0,-1.0,500,924,956,16.1,0
297,tomo_651ecd,152.0,455.0,337.0,300,960,928,13.1,1
298,tomo_6521dc,-1.0,-1.0,-1.0,300,960,928,15.6,0
299,tomo_656915,202.0,794.0,167.0,500,924,956,19.7,1
300,tomo_6607ec,-1.0,-1.0,-1.0,300,960,928,15.6,0
301,tomo_66285d,75.0,438.0,640.0,300,928,928,13.1,1
302,tomo_672101,102.0,290.0,581.0,300,960,928,13.1,1
303,tomo_6733fa,133.0,323.0,751.0,300,960,928,13.1,1
304,tomo_675583,187.0,565.0,765.0,300,960,928,16.8,1
305,tomo_67565e,124.0,622.0,610.0,300,959,928,15.6,1
306,tomo_676744,252.0,589.0,491.0,300,960,928,16.8,1
307,tomo_67717e,137.0,280.0,561.0,300,959,928,15.6,2
308,tomo_67717e,160.0,171.0,404.0,300,959,928,15.6,2
309,tomo_67ff4e,-1.0,-1.0,-1.0,800,928,960,16.1,0
310,tomo_68e123,89.0,771.0,530.0,300,928,928,15.6,1
311,tomo_692081,-1.0,-1.0,-1.0,800,928,960,16.1,0
312,tomo_6943e6,-1.0,-1.0,-1.0,300,960,928,16.8,0
313,tomo_69d7c9,-1.0,-1.0,-1.0,300,960,928,16.8,0
314,tomo_6a6a3b,-1.0,-1.0,-1.0,800,928,960,13.1,0
315,tomo_6a84b7,-1.0,-1.0,-1.0,800,928,960,13.1,0
316,tomo_6acb9e,80.0,562.0,831.0,300,960,928,13.1,1
317,tomo_6b1fd3,-1.0,-1.0,-1.0,500,924,956,19.7,0
318,tomo_6bb452,-1.0,-1.0,-1.0,800,928,960,13.1,0
319,tomo_6bc974,74.0,555.0,610.0,300,928,928,13.1,1
320,tomo_6c203d,165.0,308.0,280.0,300,960,928,13.1,1
321,tomo_6c4df3,-1.0,-1.0,-1.0,500,924,956,19.7,0
322,tomo_6c5a26,175.0,620.0,478.0,300,960,928,15.6,1
323,tomo_6cb0f0,144.0,657.0,273.0,300,960,928,13.1,1
324,tomo_6cf2df,436.0,261.0,514.0,500,928,960,13.1,2
325,tomo_6cf2df,337.0,104.0,450.0,500,928,960,13.1,2
326,tomo_6d22d1,50.0,797.0,362.0,300,960,928,13.1,1
327,tomo_6df2d6,105.0,788.0,537.0,300,960,928,13.1,1
328,tomo_6e196d,-1.0,-1.0,-1.0,500,1024,1440,13.3,0
329,tomo_6e237a,119.0,796.0,663.0,300,959,928,15.6,1
330,tomo_6f0ee4,165.0,336.0,202.0,300,959,928,15.6,1
331,tomo_6f2c1f,216.0,608.0,328.0,300,960,928,13.1,1
332,tomo_6f83d4,123.0,424.0,293.0,300,960,928,13.1,1
333,tomo_7036ee,166.0,569.0,724.0,300,960,928,13.1,1
334,tomo_711fad,-1.0,-1.0,-1.0,500,924,956,19.7,0
335,tomo_71d2c0,-1.0,-1.0,-1.0,800,928,928,19.3,0
336,tomo_71ece1,149.0,424.0,416.0,300,928,928,13.1,1
337,tomo_72763e,154.0,592.0,875.0,300,959,928,15.6,1
338,tomo_72b187,-1.0,-1.0,-1.0,300,960,928,13.1,0
339,tomo_73173f,142.0,655.0,567.0,300,928,928,13.2,1
340,tomo_736dfa,-1.0,-1.0,-1.0,800,927,959,13.1,0
341,tomo_738500,200.0,389.0,437.0,300,960,928,15.6,1
342,tomo_746d88,-1.0,-1.0,-1.0,800,928,928,19.3,0
343,tomo_754447,201.0,207.0,459.0,500,924,956,19.7,2
344,tomo_754447,218.0,228.0,445.0,500,924,956,19.7,2
345,tomo_7550f4,134.0,500.0,710.0,300,960,928,16.8,1
346,tomo_769126,95.0,114.0,566.0,300,960,928,13.1,1
347,tomo_76a42b,181.0,497.0,635.0,300,960,928,13.1,1
348,tomo_774aae,-1.0,-1.0,-1.0,800,928,960,16.1,0
349,tomo_78b03d,-1.0,-1.0,-1.0,300,960,928,16.8,0
350,tomo_79756f,206.0,795.0,230.0,300,959,928,15.6,1
351,tomo_79a385,196.0,704.0,676.0,300,960,928,15.6,1
352,tomo_79d622,218.0,308.0,505.0,300,928,928,13.1,1
353,tomo_7a49bd,-1.0,-1.0,-1.0,500,1024,1440,13.3,0
354,tomo_7a9b64,125.0,402.0,469.0,300,960,928,13.1,1
355,tomo_7b1ee3,182.0,651.0,626.0,300,960,928,13.1,1
356,tomo_7ca7c0,89.0,712.0,107.0,300,928,928,15.6,3
357,tomo_7ca7c0,125.0,335.0,59.0,300,928,928,15.6,3
358,tomo_7ca7c0,165.0,580.0,794.0,300,928,928,15.6,3
359,tomo_7cf523,-1.0,-1.0,-1.0,300,960,928,16.8,0
360,tomo_7dc063,-1.0,-1.0,-1.0,800,928,960,13.1,0
361,tomo_7dcfb8,-1.0,-1.0,-1.0,300,960,928,16.8,0
362,tomo_7e3494,-1.0,-1.0,-1.0,800,928,960,16.1,0
363,tomo_7eb641,-1.0,-1.0,-1.0,300,960,928,15.6,0
364,tomo_7f0184,228.0,331.0,350.0,300,960,928,13.1,1
365,tomo_7fa3b1,-1.0,-1.0,-1.0,300,960,928,19.2,0
366,tomo_7fbc49,0.0,556.0,359.0,300,960,928,13.1,1
367,tomo_806a8f,110.0,749.0,427.0,300,960,928,13.1,1
368,tomo_80bf0f,-1.0,-1.0,-1.0,500,960,928,16.8,0
369,tomo_813916,-1.0,-1.0,-1.0,800,928,960,13.1,0
370,tomo_81445c,102.0,807.0,233.0,300,960,928,13.1,1
371,tomo_8174f5,-1.0,-1.0,-1.0,500,1024,1440,13.3,0
372,tomo_821255,-1.0,-1.0,-1.0,300,960,928,15.6,0
373,tomo_823bc7,160.0,356.0,805.0,300,960,928,13.1,1
374,tomo_82d780,107.0,366.0,574.0,300,960,928,15.6,1
375,tomo_8351d1,-1.0,-1.0,-1.0,500,1024,1440,13.3,0
376,tomo_84997e,139.0,813.0,688.0,300,959,928,15.6,1
377,tomo_8554af,93.0,254.0,549.0,300,960,928,15.6,1
378,tomo_85708b,-1.0,-1.0,-1.0,800,928,960,16.1,0
379,tomo_85edfd,-1.0,-1.0,-1.0,300,960,928,16.8,0
380,tomo_85fa87,152.0,369.0,41.0,300,959,928,15.6,1
381,tomo_8634ee,-1.0,-1.0,-1.0,800,928,960,13.1,0
382,tomo_868255,243.0,373.0,784.0,300,960,928,15.6,1
